===== ACCEL FILTER TEST =====
ACC_NO_filter
3248	1622	-1154
3100	3386	1687
3034	5648	4478
2618	7800	6990
1880	9143	9772
1211	9638	12964
666	9440	16560
106	8625	20420
-404	7450	24040
-560	6580	27442
-760	5983	31006
-1440	5182	32764
-2212	4144	32764
-2726	2752	32764
-2928	924	32764
-2988	-1468	32764
-2862	-4081	32764
-2064	-6154	32764
-638	-7474	32764
2709	-6814	32764
6351	-5668	32764
5778	-6684	32764
4210	-6527	32764
2840	-5412	32764
458	-5186	32764
-434	-4421	32764
-239	-3568	32764
34	-3105	32764
850	-2439	32764
1826	-1394	32764
1692	-731	32764
1076	-207	32764
572	560	30416
-27	1398	27806
-465	2276	25260
-423	3252	22560
-78	4016	19626
240	4545	16260
765	5558	12604
1462	7150	9084
1871	8441	5432
2182	9045	994
3003	8982	-4138
4110	7820	-9336
4988	5510	-14010
5470	2450	-17536
5760	-758	-19844
6353	-3260	-20976
6943	-4920	-20666
7020	-5750	-19016
6750	-5772	-16657
6452	-5334	-13804
6363	-4542	-10800
6456	-3556	-8214
7082	-2333	-5793
7583	-1210	-3714
6928	-712	-2114
5974	-414	-716
5334	-234	438
4752	-510	1404
4142	-952	2385
3643	-1274	3588
3558	-1020	4650
3764	-142	5584
3716	655	6276
3318	1387	6766
3032	2370	7848
3118	3590	9591
3239	4732	11589
2917	5345	13623
2150	5379	15794
1252	5260	18386
634	5538	21594
212	6292	25352
-425	7043	29246
-1216	7410	32764
-1856	7171	32764
Time_us: 447496

ACC_LP_DIV_20
-1252	3482	21799
-1552	3200	27363
-1686	2168	32005
-1622	617	32764
-584	-688	32764
1458	-1782	32764
2618	-3546	32764
2846	-5212	32764
3157	-5730	32764
3004	-5358	32764
2244	-4559	32764
1456	-3810	32764
1116	-3316	32764
1228	-3084	32764
1540	-3095	32764
1880	-3169	32764
1990	-3339	32764
1890	-3464	32764
1950	-3113	32004
2066	-2530	30018
1934	-2024	27894
1743	-1436	25489
1686	-734	22900
1726	178	20250
1786	1336	17493
1808	2548	14566
1804	3763	11386
1876	4984	7964
2134	6002	4328
2582	6585	609
3110	6496	-3068
3566	5511	-6625
4054	3854	-9896
4764	2029	-12730
5600	496	-15034
6240	-590	-16820
6578	-1282	-17975
6808	-1515	-18390
6998	-1316	-18323
7023	-918	-17962
6804	-490	-17394
6406	-129	-16504
6127	222	-15170
6295	680	-13500
6363	899	-11670
5800	731	-9936
5082	670	-8358
4504	879	-6794
3902	1251	-5058
3222	1772	-3091
2516	2411	-864
1879	3118	1640
1347	3818	4350
832	4478	7302
250	5073	10639
-378	5510	14342
-1036	5627	18266
-1894	5255	22220
-2791	4304	26002
-3226	2940	29784
-3297	1500	32764
-3344	181	32764
-3220	-1014	32764
-2683	-2126	32764
-1896	-3290	32764
-1294	-4612	32764
-320	-5449	32764
1511	-5331	32764
2214	-5527	32764
1968	-5648	32764
1734	-5256	32764
982	-5228	32764
580	-5062	32764
746	-4692	32764
1044	-4582	32764
1226	-4842	32764
1260	-5090	32764
1126	-5052	32764
891	-4644	32764
634	-3883	32764
226	-2978	32764
-206	-1968	32764
-407	-830	32764
-431	314	32030
-490	1234	30006
-713	1760	27934
-917	2046	25776
-885	2336	23592
-646	2615	21286
-406	2819	18726
-196	3092	15949
168	3639	12927
717	4447	9570
1281	5299	5886
1946	6210	1804
2788	6954	-2607
3510	6928	-6937
4036	5988	-10860
4552	4434	-13998
5164	2637	-16168
Time_us: 452668

ACC_LP_DIV_45
3041	546	-9294
3486	-42	-10716
3709	-524	-11840
3888	-828	-12600
4148	-934	-12936
4370	-960	-12952
4664	-914	-12778
5372	-670	-12332
5896	-580	-11662
5817	-750	-10864
5680	-782	-9929
5584	-677	-8754
5400	-566	-7466
5180	-420	-6306
4882	-275	-5210
4502	-114	-4056
4148	152	-2842
3812	544	-1506
3460	1082	14
3140	1752	1681
2886	2519	3534
2654	3308	5680
2390	4041	8162
2069	4633	10889
1676	4968	13802
1244	4978	16868
830	4684	20033
482	4154	23226
200	3430	26340
32	2585	29202
83	1742	31726
266	924	32764
398	84	32764
474	-740	32764
630	-1410	32764
1088	-1699	32764
1570	-1788	32764
1720	-2005	32764
1726	-2332	32764
1718	-2721	32764
1729	-3114	32764
1768	-3408	32764
1827	-3611	32764
1927	-3754	32764
2078	-3753	32764
2120	-3708	32764
1998	-3738	32764
1930	-3668	32764
1929	-3460	32764
1750	-3334	31854
1498	-3146	30130
1418	-2702	28261
1433	-2122	26289
1479	-1444	24064
1564	-630	21538
1708	306	18796
1894	1332	15770
2020	2282	12475
2128	2992	8904
2354	3424	5224
2722	3562	1736
3152	3456	-1406
3522	3138	-4078
3834	2649	-6217
4216	2142	-7828
4674	1694	-8848
